outcode,latitude,longitude,region
AB1,57.12691536120535,-2.1364485743879436,Scotland
AB10,57.134890694783536,-2.117417598224195,Scotland
AB11,57.13715584333342,-2.09353086,Scotland
AB12,57.10342182490638,-2.109784287453164,Scotland
AB13,57.112267256,-2.2416618080000004,Scotland
AB14,57.10341107784428,-2.272955874251498,Scotland
AB15,57.13861882456153,-2.1678220991609543,Scotland
AB16,57.15937365351822,-2.1566060895522376,Scotland
AB2,57.171255097394166,-2.141523974267097,Scotland
AB21,57.20688746083434,-2.199760070193284,Scotland
AB22,57.18655738520408,-2.1202873647959173,Scotland
AB23,57.2077959976581,-2.089283304449654,Scotland
AB24,57.16341509295209,-2.1082663554647563,Scotland
AB25,57.15360493981495,-2.114425958333326,Scotland
AB3,57.0875937762915,-2.5962412061808102,Scotland
AB30,56.84528227913277,-2.4771906341463414,Scotland
AB31,57.06689825418992,-2.504694834264439,Scotland
AB32,57.15436861538461,-2.3143902579185505,Scotland
AB33,57.226076242038296,-2.7365012292993622,Scotland
AB34,57.092558337792646,-2.809807073578596,Scotland
AB35,57.03902646534654,-3.1438685990099,Scotland
AB36,57.196233363636374,-3.0725137818181807,Scotland
AB37,57.32996657291668,-3.353398135416666,Scotland
AB38,57.48508691935482,-3.2275096129032255,Scotland
AB39,56.980240521326984,-2.215065581358613,Scotland
AB4,57.53429150879569,-2.1271311498646805,Scotland
AB41,57.37171975859179,-2.11717154400671,Scotland
AB42,57.501637403782894,-1.8886705933388104,Scotland
AB43,57.65777989690717,-2.0447216027491413,Scotland
AB44,57.66824348101268,-2.4929387594936707,Scotland
AB45,57.652246891304294,-2.56699211884058,Scotland
AB5,57.46514807561633,-2.6476377245169855,Scotland
AB51,57.28796868891404,-2.4043453761312197,Scotland
AB52,57.34226152490421,-2.6024431455938686,Scotland
AB53,57.534350427911306,-2.407432565619223,Scotland
AB54,57.46557549004733,-2.756221176303314,Scotland
AB55,57.53251040612523,-2.9754716071904173,Scotland
AB56,57.673487686947986,-2.919467117762506,Scotland
AB9,57.14658582347397,-2.114203822535214,Scotland
AB99,57.111325,-2.094001,Scotland
AL1,51.748638059671414,-0.31941651516658703,East of England
AL10,51.760908893951886,-0.23113236205468146,East of England
AL2,51.72227868832498,-0.33102602131979764,East of England
AL3,51.77542835141338,-0.3666450106951885,East of England
AL4,51.77128378281415,-0.2959043786591129,East of England
AL5,51.81460238079915,-0.35148209020618365,East of England
AL6,51.829895761035,-0.1993657138508376,East of England
AL7,51.798824273411135,-0.18951833082706854,East of England
AL8,51.80337890999987,-0.2103343700000002,East of England
AL9,51.74685431391583,-0.20167618284789646,East of England
B1,52.47958239703911,-1.9077992516823767,West Midlands
B10,52.47011800656464,-1.8532965120350091,West Midlands
B11,52.45537540561491,-1.8597707163601296,West Midlands
B12,52.46115126535949,-1.8826776705882373,West Midlands
B13,52.43484033746658,-1.8828505217006113,West Midlands
B14,52.41884107803477,-1.890284976878617,West Midlands
B15,52.46798909016403,-1.9234047388758762,West Midlands
B16,52.475449645215996,-1.9321658331922145,West Midlands
B17,52.46149157697133,-1.9629285894868598,West Midlands
B18,52.49151121047056,-1.9221271528795576,West Midlands
B19,52.49627397088783,-1.9060715938864607,West Midlands
B2,52.48632707209288,-1.897319190697684,West Midlands
B20,52.51342617086088,-1.9187847523178754,West Midlands
B21,52.50510093002536,-1.936231203562337,West Midlands
B22,52.411739,-1.928824,West Midlands
B23,52.527572564426805,-1.8514231944663981,West Midlands
B24,52.51970154450254,-1.8287985170157064,West Midlands
B25,52.46096899820083,-1.826769383093545,West Midlands
B26,52.46066519840217,-1.7926733675099875,West Midlands
B27,52.44577711580876,-1.823783229779415,West Midlands
B28,52.4280698726852,-1.8431282430555544,West Midlands
B29,52.43775334941946,-1.94525978462913,West Midlands
B3,52.482320666666645,-1.9029458207283008,West Midlands
B30,52.42111773946734,-1.9281152738359304,West Midlands
B31,52.40910885704775,-1.9734555691489502,West Midlands
B32,52.45129730396536,-1.9945145162995586,West Midlands
B33,52.48088268012726,-1.7879685579171087,West Midlands
B34,52.49568832552084,-1.7816794010416663,West Midlands
B35,52.51712766885969,-1.7899234122807055,West Midlands
B36,52.504529368567475,-1.7801206815020831,West Midlands
B37,52.478443913738325,-1.7417826144834856,West Midlands
B38,52.40106835919059,-1.93390362731872,West Midlands
B4,52.483848832989715,-1.8936683731958788,West Midlands
B40,52.458457851851854,-1.724571333333333,West Midlands
B42,52.53450519600584,-1.9037708389513033,West Midlands
B43,52.54761788639759,-1.9282384409566522,West Midlands
B44,52.54502594987478,-1.8856439172932336,West Midlands
B45,52.38854241164029,-2.008119867724867,West Midlands
B46,52.507108919642874,-1.6976049211309614,West Midlands
B47,52.38872003050847,-1.8810965152542383,West Midlands
B48,52.356909122950796,-1.9515977500000015,West Midlands
B49,52.21735180370383,-1.867775883333336,West Midlands
B5,52.47210340000004,-1.8968603347826107,West Midlands
B50,52.16958163755461,-1.8565561877729257,West Midlands
B6,52.50240360661373,-1.8869373078677392,West Midlands
B60,52.32389631496705,-2.050507104440811,West Midlands
B61,52.34427525171614,-2.067885788329518,West Midlands
B62,52.45995751731353,-2.0376466180482726,West Midlands
B63,52.453069351906066,-2.067428139784946,West Midlands
B64,52.47245278830954,-2.0689432259083738,West Midlands
B65,52.48281397832821,-2.0434152492260056,West Midlands
B66,52.49366770409231,-1.9658479790136412,West Midlands
B67,52.488020153256734,-1.9770729961685898,West Midlands
B68,52.48006425867048,-2.001797921965316,West Midlands
B69,52.502876190348886,-2.024952425379807,West Midlands
B7,52.49377007256233,-1.8743828911564633,West Midlands
B70,52.519798244428394,-2.002601250179725,West Midlands
B71,52.534779399999934,-1.9901866477987418,West Midlands
B72,52.554434218085156,-1.8235641781914917,West Midlands
B73,52.55925168952106,-1.837606586679715,West Midlands
B74,52.58237956878869,-1.8572121550307965,West Midlands
EH30,55.98304285875712,-3.385081677966101,Scotland
B75,52.577736969267164,-1.8109483085106357,West Midlands
B76,52.54477431197772,-1.7895038050139307,West Midlands
B77,52.620400484289505,-1.6714043224043644,West Midlands
B78,52.60739572015917,-1.6761657095490712,West Midlands
B79,52.64805304284101,-1.6811526505073267,West Midlands
B8,52.490028374839625,-1.8427765750962761,West Midlands
B80,52.277740783783834,-1.8970272895752884,West Midlands
B9,52.4780940135976,-1.852787521631639,West Midlands
B90,52.400683212003415,-1.8256571324200754,West Midlands
B91,52.41399168265244,-1.7807830451339859,West Midlands
B92,52.435304019672195,-1.7734567879781435,West Midlands
B93,52.383237883428535,-1.7420213359999954,West Midlands
B94,52.3528128588235,-1.7914828188235317,West Midlands
B95,52.287215688095124,-1.7805078190476187,West Midlands
B96,52.25481321097049,-1.9594374135021098,West Midlands
B97,52.30367046651441,-1.9493057709284407,West Midlands
B98,52.30371563283309,-1.9158246804942562,West Midlands
B99,52.495944576271214,-1.8942484915254263,West Midlands
BA1,51.38880739789599,-2.3601573254091988,South West
BA10,51.11229240796013,-2.4474570945273633,South West
BA11,51.237018859364845,-2.326395131169711,South West
BA12,51.17487248998574,-2.1878735307582273,South West
BA13,51.263054383735884,-2.1851680698856457,South West
BA14,51.319044759811796,-2.2032723600209385,South West
BA15,51.348275367534484,-2.2620761485451695,South West
BA16,51.12654667808217,-2.7432766347031947,South West
BA2,51.36203930043716,-2.3761789366350987,South West
BA20,50.939048286765015,-2.6427366911764727,South West
BA21,50.95115037180918,-2.6339215194228656,South West
BA22,50.969149875275995,-2.638165769315676,South West
BA3,51.28526315621835,-2.449676269464114,South West
BA4,51.17466693903613,-2.5333934709931216,South West
BA5,51.21159436193267,-2.65508153353056,South West
BA6,51.14330393846159,-2.709398147435899,South West
BA7,51.08967315983609,-2.5192895163934472,South West
BA8,51.000282067510554,-2.41106626160338,South West
BA9,51.057633536687675,-2.410228874213834,South West
BB0,53.753464,-2.464231,North West
BB1,53.75525105745353,-2.4657600486542486,North West
BB10,53.79937160979877,-2.2213016360454967,North West
BB11,53.784840800547705,-2.2507014160384053,North West
BB12,53.80202770731709,-2.2888821512195134,North West
BB18,53.915111656296325,-2.1724983955555572,North West
BB2,53.74160115679937,-2.4980137354301584,North West
BB3,53.69775660755346,-2.465933573891631,North West
BB4,53.70347480926425,-2.2909909068119925,North West
BB5,53.75452018993397,-2.3722925256410132,North West
BB6,53.803633472650745,-2.415435120617109,North West
BB7,53.87168258417858,-2.389197382014873,North West
BB8,53.8790325166776,-2.168107854807069,North West
BB9,53.83697112812341,-2.215945166400853,North West
BB94,53.91548309523809,-2.1401560476190475,North West
BD1,53.7973269292934,-1.754322678030317,Yorkshire and The Humber
BD10,53.83105540065502,-1.7264723329694325,Yorkshire and The Humber
BD11,53.75024252910057,-1.6777883624338623,Yorkshire and The Humber
BD12,53.74789679542404,-1.762377952893672,Yorkshire and The Humber
BD13,53.78799876227381,-1.8554503703703733,Yorkshire and The Humber
BD14,53.78322561648744,-1.817920096774193,Yorkshire and The Humber
BD15,53.808054600694454,-1.8351811701388892,Yorkshire and The Humber
BD16,53.846926225423914,-1.8311408245762713,Yorkshire and The Humber
BD17,53.845103943128024,-1.7689746196682439,Yorkshire and The Humber
BD18,53.82973115369871,-1.7761466945244864,Yorkshire and The Humber
BD19,53.72663252983535,-1.7143908858024701,Yorkshire and The Humber
BD2,53.81415772871729,-1.7356599182746886,Yorkshire and The Humber
BD20,53.89598545789801,-1.9466680135218146,Yorkshire and The Humber
BD21,53.8646145103939,-1.9084618086021463,Yorkshire and The Humber
BD22,53.84683744612916,-1.9523056600159636,Yorkshire and The Humber
BD23,53.98846699783823,-2.0520481545945812,Yorkshire and The Humber
BD24,54.07680480541865,-2.281567852216751,Yorkshire and The Humber
BD3,53.79792475609745,-1.7299715410199579,Yorkshire and The Humber
BD4,53.77672261046966,-1.7215814611239408,Yorkshire and The Humber
BD5,53.7794891816444,-1.7582856644359484,Yorkshire and The Humber
BD6,53.76494330777665,-1.7844930580503817,Yorkshire and The Humber
BD7,53.78429812459017,-1.7810607540983585,Yorkshire and The Humber
BD8,53.80142936051501,-1.7806669527897017,Yorkshire and The Humber
BD9,53.81162331448284,-1.7884634427586235,Yorkshire and The Humber
BD97,53.826486,-1.7967352500000002,Yorkshire and The Humber
BD98,53.8169945,-1.765445833333333,Yorkshire and The Humber
BD99,53.79462531578947,-1.7587934736842106,Yorkshire and The Humber
BH1,50.72527203074856,-1.8630288709893117,South West
BH10,50.75905973489927,-1.893234723154366,South West
BH11,50.761223897001265,-1.9207553898305079,South West
BH12,50.7380245458442,-1.9246165261353836,South West
BH13,50.710485158653924,-1.9184421995192298,South West
BH14,50.722349119371835,-1.9456786230366518,South West
BH15,50.720734320616245,-1.984903261188577,South West
BH16,50.738439842213175,-2.0443886147540966,South West
BH17,50.74580649237174,-1.973464171983357,South West
BH18,50.7570320674699,-1.9915653927710828,South West
BH19,50.611459718796944,-1.9699156962405968,South West
BH2,50.72185935098046,-1.881332709803921,South West
BH20,50.68779673806984,-2.144525174973493,South West
BH21,50.81753183530493,-1.9650754363057188,South West
BH22,50.80595733742321,-1.8891092208588998,South West
BH23,50.745306840960474,-1.758801813774367,South West
BH24,50.84616761157708,-1.7878282013422795,South East
BH25,50.75227124701557,-1.65855596969696,South East
BH3,50.73549428426393,-1.8802172842639586,South West
BH31,50.8752692227377,-1.8697569211136924,South West
BH4,50.7217073720931,-1.9005650755813912,South West
BH5,50.72574792622966,-1.837042806010924,South West
BH6,50.727655076056465,-1.8092159492957713,South West
BH7,50.73454205496849,-1.8341440317124682,South West
BH8,50.73973451155131,-1.853930999999998,South West
BH9,50.74981457787799,-1.8748088261851028,South West
BL0,53.643530598802506,-2.316092392215569,North West
BL1,53.58892870974604,-2.440584100207325,North West
BL11,53.572273548387074,-2.4253785806451615,North West
BL2,53.587750338366554,-2.3978022361015756,North West
BL3,53.56610892400877,-2.4319239653083735,North West
BL4,53.54760317411549,-2.404191628491621,North West
BL5,53.55094876847291,-2.5169883103448263,North West
BL6,53.59109705668353,-2.5401081056683306,North West
BL7,53.62814761688317,-2.4230027483766206,North West
BL78,53.561514714285735,-2.4086075,North West
BL8,53.60161221980772,-2.323238704792384,North West
BL9,53.59230620614524,-2.2889020139664917,North West
BN1,50.83731546519721,-0.13994568275620775,South East
BN10,50.79566272521249,0.002135022662889512,South East
BN11,50.81372869884759,-0.37542977674163186,South East
BN12,50.81419465800888,-0.42686765367965296,South East
BN13,50.83040408495398,-0.40669156192425787,South East
BN14,50.83070457546276,-0.380173091528723,South East
BN15,50.830113889370914,-0.3248367472885037,South East
BN16,50.81619679264002,-0.49772522363764665,South East
BN17,50.81544114857758,-0.5371573677555314,South East
BN18,50.84708944534412,-0.5835164804318507,South East
BN2,50.82463425372075,-0.10796612322603041,South East
BN20,50.77413581720435,0.2548597655913984,South East
BN21,50.77200532883486,0.27482138957055424,South East
BN22,50.78814402457477,0.2832376880907374,South East
BN23,50.798511457409475,0.3127130280046674,South East
BN24,50.815380469565326,0.3244715026086973,South East
BN25,50.77591434909699,0.10744087274290585,South East
BN26,50.821472934451265,0.2255317743902433,South East
BN27,50.87068885558586,0.26278686989100714,South East
BN3,50.83444519289351,-0.17536060562280223,South East
BN4,50.84931831582692,-0.2563460880056775,South East
BN41,50.8387751646153,-0.21491704307692416,South East
BN42,50.83670604406783,-0.23204842033898304,South East
BN43,50.83534511166914,-0.26821163739021386,South East
BN44,50.89275235097487,-0.3186504456824509,South East
BN45,50.88851685964914,-0.18360643859649123,South East
BN5,50.92393188017437,-0.26789743137254896,South East
BN50,50.82606152016119,-0.14075277419354568,South East
